;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
ЕАЭС;102,1;103,3;103,7;108,4;102,4;89,8;121;94,7;105;103,6;102,2;104,5;102,9;99,9;103,5
Армения;111,2;100,4;109,6;101,3;99,5;86,4;113,9;109,5;107,1;106,3;108,4;96,2;97,6;92,8;96,2
Беларусь;101,7;105,9;104,1;108,9;101;102,5;106,6;106,6;96;103,1;97,5;103,3;104,2;96,7;102,9
Казахстан;107,1;104,5;108,5;93,1;114,6;88,3;126,8;85,2;109,7;101;103,4;105,4;103;103,5;99,9
Кыргызстан;95,8;101,8;101,8;100,9;107;97,4;102;101,2;102,7;99,5;106,2;103,1;102,4;102,7;102,6
Россия;101,6;103;103;110,6;100,7;87,9;122,1;94,4;105,1;104,1;102,1;104,8;102,9;99,8;104,3
