;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
ЕАЭС;2476,3002;2603,2643;2775,2664;2829,1224;2524,4543;2732,1606;2913,3807;3048,4371;3023,8483;3170,9006;3163,5918;3182,9947;3380,1044;3522,8433;3530
Армения;0,7203;0,7716;0,9165;0,8975;0,9092;0,973;1,0556;1,3915;1,4977;1,5145;1,1197;1,3336;1,4215;1,5921;1,9
Беларусь;53,059;54,863;60,033;62,9;56,4;62,401;69,011;70,55;69,532;71,698;65,405;66,475;75,64;80,7667;76,8
Казахстан;219,2;245,2;262,7;279,4;265,3;296,7;348,1;371,1;379,4;438,864;430,858;404,0714;434,422;470,2;460,9
Кыргызстан;1,3209;1,4297;1,6169;1,9249;1,8451;2,0866;2,2141;2,3956;2,5056;2,3609;2,3792;2,3257;2,4775;2,5845;2,7
Россия;2202;2301;2450;2484;2200;2370;2493;2603;2570,913;2656,4632;2663,8299;2708,789;2866,1434;2967,7;2987,7
