;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Армения;109,9;109;112,3;104,5;96;103,9;102,6;107,7;102,3;101,2;94;97,9;111,6;103,8;111,8
Беларусь;110,7;109;109,6;112,5;100;108;101,1;108,2;107,9;103;98;97,6;103,5;106,1;104
Казахстан;110,7;111,6;111,4;106,4;100,5;109,7;111,9;110,8;108,9;102,8;101,9;101,4;101,6;102,7;107,4
Кыргызстан;106,2;116,2;102,6;110,8;88,1;102;108,1;109,5;106,5;102,4;99,3;99,7;105,4;104,4;101,4
Россия;109,1;109,5;111,2;108,6;96,1;103,5;105,3;106,2;103,8;100,9;92;98,5;103,4;103,5;102,9
