;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
ЕАЭС;105,2;106,6;106,8;101,4;90,8;107,7093946;105,1256898;103,2806174;100,4047465;102,258027;99,81757965;101,5453373;104,0763754;103,6594707;103,2784256
Армения;0;0;0;0;92,4;109,7;113,9;108,8;106,9;101,5;105,2;106,5;112,3;104,2;108,8
Беларусь2);110;111,2;108,6;111,3;96,9;111,7;109,1;105,9;95,1;101,9;93,4;99,6;106,1;105,7;101
Казахстан;103,1;107,1;106,2;102,6;102,7;109,6;103,8;100,7;102,5;100,3;98,4;98,9;107,3;104,4;104,1
Кыргызстан;0;0;0;0;0;109,8;111,9;84,1;128,6;98,4;95,6;104,9;111,5;105,4;106,9091
Россия2);105,1;106,3;106,8;100,6;89,3;107,3;105;103,4;100,4;102,5;100,2;101,8;103,7;103,5;103,3
